userName,gender,city,min_experience,job_title,education,skills_name,level
Juditha,Male,Ashgabat,0,Technical Lead,B.Sc.  ( Science )  ,"Planning/Organizing, Management Proficiency, Communication Proficiency,
C, c++, VC++ ( MFC, SDK ), com / atl, Unix, iis web server, Oracle PL SQL Developer, Iot, Python
",Beginner Level
Julia,Female,Macao,0.1,Technical Lead,"ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
	                    
                    	","Technical Proficiency, Planning/Organizing, Communication Proficiency,
C, c++, Java, Linux, WINDOWS, catia, cfx, solidworks, autocad, Application Programming, Simulation, flow-3d, Python, ensight, Rhino, Shell scripting, Linux Shell Scripting
",Beginner Level
Julian,Male,Porto-Novo,0.2,Technical Lead,"BCA  ( Computer Application )  , MCA /  PGDCA
	                    
                    	","c++, data structure, fix, trading, Multithreading, Socket Programming, Python, Shell Scripting, Linux, C, Oracle, low latency trading programming, front office system, modern c++, data structure and algorithm, multithreading
",Beginner Level
Justin,Female,Santiago,0.3,Technical Lead,"B.com.  ( Commerce )  , MCA /  PGDCA
	                    
                    	","agile, apache kafka, beyond compare, boost, c, c++, c++ stl, data structure, design patterns, fortify, gcc, gdb, git, ipc, jira tool, multithreading, ooad, ooad c++, shell script, splunk, sql, unix, unix scripting, visual studio, Kafka, c++ 17
",Beginner Level
Karen,Male,Brussels,0.4,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Technical Proficiency, Management Proficiency,
C, c++, Unix, Linux, Data Structure and Algorithms, hp-ux, stl, Perl and Shell, Openstack
",Beginner Level
Kasun,Male,George Town,0.5,Technical Lead,"BE /  B.Tech  ( Engineering )  , Other Post Graduation
	                    
                    	","Management Proficiency, Training/Mentoring, Technical Proficiency,
c / c++, multithreading, datastructure, design patterns programming, concurrency, linux, postgres, boost, c++ stl, data analytics, machine learning, object oriented, multi threading, ipc mechanism, Core Java, Python, Hibernate, Reactjs, akka, Play Framework, React, redux, CSS, elastic db, grpc, JavaScript, Typescript, grafana, microservices
",Beginner Level
Kalana,Male,Brussels,0.6,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Training/Mentoring,
c++ with Object Oriented Programming ( OOPS ) Concepts, STL, Multithreading and IPC., mysis, Summit
",Beginner Level
Kithmi,Female,Valletta,0.7,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Linux and Apache and MySQL and & #40;PHP, Perl, Python & #41;, Python, Java Programmer, c++, Hive, MySQL, Data Analysis, Power Bi, Microsoft Excel, Powerpoint Presentation, Amazon Aws, Microsoft Azure, Rdbms, Data Structures, Algorithm, Machine Learning, Nosql, Data Science, Data Visualization, Sql, Business Analyst
",Beginner Level
Kasuni,Female,Saint John's,0.8,Technical Lead,"BE /  B.Tech  ( Engineering )  , MBA /  PGDM
	                    
                    	","Planning/Organizing, Interpersonal Abilities, Management Proficiency,
.net, c#, c++, VC++, angularjs, Entity Framework, Asp.net Mvc, VC++, MFC, Win32, Multithreading, Socket Programming, mongodb, Python, MATLAB, Embedded C, Machine Learning, Autosar, Capl, Canalyzer, Uds, Canoe, Lin, Flexray, Devops, Jenkins, Git, Aws, Ansible, Puppet, Docker
",Beginner Level
Kalpa,Male,Manama,0.9,Technical Lead,"BCA  ( Computer Application )  , MCA /  PGDCA
	                    
                    	","Technical Proficiency, Planning/Organizing, Creative Proficiency,
C, c++, Data Structures, MIB, SNMP, Linux, socket programming
",Beginner Level
Kasunika,Female,The City of Hamilton,1,Technical Lead,"BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences )
	                    
                    	","Interpersonal Abilities, Planning/Organizing, Technical Proficiency,
c, c++, ldra, uml, ooad, sw-sw integration, sw-hw integration, vb, java, Device Driver and ( RTOS, VxWorks ), Hdl, Description Language, Xilinx, Fpga, Vhdl, Verilog, 8086 Microprocessor, Microcontroller, OOPS, Design Pattern, Multithreading, Computer Networks, Operating System Concepts, Dbms Concepts, Data Structures, Embedded Linux
",Beginner Level
Kesara,Female,Kingston,1.1,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Communication Proficiency,
c++, Linux, Python
",Beginner Level
Katherine,Female,Banjul,1.2,Technical Lead,"BE /  B.Tech  ( Engineering )  , MBA /  PGDM
	                    
                    	","Planning/Organizing, Training/Mentoring, Management Proficiency,
.net, agile methodology, AJAX, Framework, Istqb Certified Tester, Java Script, multithreading ), MVC, Project Management, Rpa, Scrum, Software development ( ASP.net, Sql, SQL Server database, UFT / QTP Automation and Team management. Good exposure of client facing and leading / managing teams. Notice period: 1 month Regards Mandakini K 9769904774, Visual Studio 2010, WCF, Istqb advanced Test Manager
",Beginner Level
Kathleen,Female,Damascus,1.3,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Creative Proficiency, Technical Proficiency,
c, Shell Scripting, Socket Programming, c++
",Beginner Level
Keith,Male,Sanaa,1.4,Technical Lead,"B.Sc.  ( Science )  , MCA /  PGDCA
	                    
                    	","Planning/Organizing, Training/Mentoring, Communication Proficiency,
APPLICATION DEVELOPMENT, C, c++, DATABASE, FRAMEWORKS, GUI, IP, IPC, LINUX, LYNX, MFC, OBJECT ORIENTED PROGRAMMING, ODBC, ORACLE, PL / SQL, SDI, SOCKETS, SOFTWARE ENGINEER, SOFTWARE INTEGRATION, SQL, VISUAL STUDIO, WINDOWS XP, c#.net, Vb.net, VC++, .net, VC++, VC++, c++
",Beginner Level
Kelly,Female,San Marino,1.5,Technical Lead,"BE /  B.Tech  ( Engineering )  , PG Diploma
	                    
                    	","Technical Proficiency, Management Proficiency, Training/Mentoring,
c++, DS, Oracle, Linux, Unix
",Beginner Level
Kevin,Male,Papeete,1.6,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Creative Proficiency, Technical Proficiency,
c++, Socket Programming, Shell Scripting, Multithreading, Linux, sql, gui development using qt
",Beginner Level
Kasuni J.M,Male,Seoul,1.7,Technical Lead,"BE /  B.Tech  ( Engineering )  , Integrated PG Course
	                    
                    	","Technical Proficiency, Interpersonal Abilities, Training/Mentoring,
c / c++, OOPS, Stl, Data Structures, Algorithms, Linux, Multithreading, Socket Programming, Inter Process Communication, san / nas, Python, kubernetes, l2 networking
",Beginner Level
Kimberly,Female,Kinshasa,1.8,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Analytical Proficiency, Planning/Organizing,
VC++, C, c++, Linux, Python, Database, Redis, cmake, Kafka, Microsoft Windows, Machine Learning
",Beginner Level
Kyle,Male,Baku,1.9,Technical Lead,"BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
	                    
                    	","Communication Proficiency, Analytical Proficiency, Training/Mentoring,
c++, c, linux, computer networking, operating system, software engineering, embedded and c, embedded and c++, embedded software, software engineer
",Beginner Level
I.M.Kiara,Female,Funafuti,0,Technical Lead,"BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
	                    
                    	","Technical Proficiency, Planning/Organizing, Creative Proficiency,
C, EMBEDDED SYSTEMS, ETHERNET, MICROCONTROLLERS, REALTIME, SPI, TCP / IP, embedded linux, Embedded and Firmware, I2c, Uart, Embedded C, RTOS, Eeprom, Linux Kernel Programming, Device Drivers, Firmware, Arm, Embedded and c++, Python, Linux, c++, Adc
",Beginner Level
Laura,Male,Asmara,0,Technical Lead,"Other Post Graduation
	                    
                    	","Planning/Organizing, Accomplishments, Communication Proficiency,
oracle, sql, pl / sql, ASP.net, Java, Unix
",Beginner Level
Lauren,Male,Tegucigalpa,0.1,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Analytical Proficiency,
ITIL, Service Manager, Customer Service Management, Problem Management, Incident Management, Bmc Remedy, Excel, Service now
",Beginner Level
Lawrence,Female,Road Town,0.2,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Communication Proficiency, Planning/Organizing, Management Proficiency,
c programming, assembly languages, toolchain, audio dsp, Linux, C, Multithreading, speech codecs
",Beginner Level
Lee,Male,Havana,0.3,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Creative Proficiency,
AEROSPACE, ALUMINUM, AUTOMOTIVE, AXIS, BASIS, C, c++, CAD, CAD PACKAGE, CAD / CAM, CAD / CAM / CAE, CAE, CALIBRATING, CAM, CASTING, CATIA, CNC, CNC MACHINES, CNC MACHINING, CNC PROGRAMMING, DIE MAKING, DOCUMENTATION, ENGINEER, FANUC, FILE, FORTE, HASS, INCREASE, KAIZEN, LATHE, MACHINE SHOP, MACHINE TOOL, MACHINING, MASTER CAM, MASTERCAM, MILLING, NC PROGRAMMING, NX, OPERATIONS, OPTIMIZATION, PFMEA, PLASTICS, PLASTICS INJECTION, PROCESSOR, PRODUCTION LINE, QUALITY ASSURANCE, RECRUITMENT, ROBOTICS, SCHEDULING, SIEMENS, SIMULATION, SIX SIGMA, SOLUTIONS, tcl scripting, vericut machine building, Manufacturing
",Beginner Level
Leo,Female,Budapest,0.4,Technical Lead,"B.Sc.  ( Science )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2010
	                    
                    	","Management Proficiency, Planning/Organizing, Technical Proficiency,
Crystal Reports, bods, Tableau, sap bobi, bobi, Udt, Sap Bo, Power Bi, Data Warehousing, Analytics, Architect
",Beginner Level
Leonard,Female,Banjul,0.5,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Technical Proficiency,
BUSINESS INTELLIGENCE, COGNOS, DATA TRANSFORMATION, DATA WAREHOUSE, DATABASES, Informatica, Oracle DBA, Business Analyst
",Beginner Level
Lahiru,Male,Funafuti,0.6,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Teamwork,
Datawarehousing, ETL, big data, hadoop, hive, sql, Python, Data Science, Tableau, r programming, Nlp, fraud analytics, healthcare analytics, supply chain analytics, pricing analytics, tigergraph, Business Statistics
",Beginner Level
Lakshan,Male,AsunciÃ³n,0.7,Technical Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Teamwork,
C, DATA WAREHOUSING, DATABASE, DATASTAGE, DB2, DOS, ETL, FINANCIAL SERVICES, SQL
",Beginner Level
